年月,X线项目,医生编号,医生,医生等级,报告数量,审核数量,总数量
2026-06,颈部,14,简乐诗,中级,0,4,4
2026-07,颈部,14,简乐诗,中级,1,2,3
2024-01,颈部,15,陈可欣,中级,10,0,10
2024-02,颈部,15,陈可欣,中级,1,0,1
2024-03,颈部,15,陈可欣,中级,10,0,10
2024-04,颈部,15,陈可欣,中级,15,0,15
2024-05,颈部,15,陈可欣,中级,3,0,3
2024-07,颈部,15,陈可欣,中级,2,0,2
2024-08,颈部,15,陈可欣,中级,2,0,2
2024-10,颈部,15,陈可欣,中级,5,0,5
2024-11,颈部,15,陈可欣,中级,2,0,2
2024-12,颈部,15,陈可欣,中级,7,0,7
2025-02,颈部,15,陈可欣,中级,4,0,4
2025-03,颈部,15,陈可欣,中级,1,0,1
2025-07,颈部,15,陈可欣,中级,2,0,2
2025-10,颈部,15,陈可欣,中级,3,0,3
2026-01,颈部,15,陈可欣,中级,10,8,18
2026-02,颈部,15,陈可欣,中级,6,6,12
2026-03,颈部,15,陈可欣,中级,4,9,13
2026-04,颈部,15,陈可欣,中级,3,6,9
2026-05,颈部,15,陈可欣,中级,2,6,8
2026-06,颈部,15,陈可欣,中级,0,9,9
2026-07,颈部,15,陈可欣,中级,1,7,8
2024-02,颈部,16,曲莹莹,中级,5,0,5
2024-04,颈部,16,曲莹莹,中级,7,0,7
2024-05,颈部,16,曲莹莹,中级,11,0,11
2024-06,颈部,16,曲莹莹,中级,7,0,7
2024-07,颈部,16,曲莹莹,中级,7,0,7
2024-08,颈部,16,曲莹莹,中级,3,0,3
2024-09,颈部,16,曲莹莹,中级,1,0,1
2024-10,颈部,16,曲莹莹,中级,9,0,9
2024-11,颈部,16,曲莹莹,中级,4,0,4
2025-01,颈部,16,曲莹莹,中级,2,0,2
2025-02,颈部,16,曲莹莹,中级,4,0,4
2025-03,颈部,16,曲莹莹,中级,5,0,5
2025-04,颈部,16,曲莹莹,中级,1,0,1
2025-07,颈部,16,曲莹莹,中级,4,0,4
2025-08,颈部,16,曲莹莹,中级,3,0,3
2025-12,颈部,16,曲莹莹,中级,2,0,2
2026-01,颈部,16,曲莹莹,中级,6,0,6
2026-02,颈部,16,曲莹莹,中级,7,0,7
2026-04,颈部,16,曲莹莹,中级,6,0,6
2026-05,颈部,16,曲莹莹,中级,1,0,1
2024-04,颈部,17,陶琼瑶,中级,2,0,2
2024-05,颈部,17,陶琼瑶,中级,9,0,9
2024-06,颈部,17,陶琼瑶,中级,5,0,5
2024-07,颈部,17,陶琼瑶,中级,9,0,9
2024-08,颈部,17,陶琼瑶,中级,6,0,6
2024-10,颈部,17,陶琼瑶,中级,8,0,8
2024-11,颈部,17,陶琼瑶,中级,2,0,2
2024-12,颈部,17,陶琼瑶,中级,1,0,1
2025-01,颈部,17,陶琼瑶,中级,6,0,6
2025-02,颈部,17,陶琼瑶,中级,9,0,9
2025-03,颈部,17,陶琼瑶,中级,4,0,4
2025-05,颈部,17,陶琼瑶,中级,4,0,4
2025-07,颈部,17,陶琼瑶,中级,1,0,1
2026-01,颈部,17,陶琼瑶,中级,10,0,10
2026-02,颈部,17,陶琼瑶,中级,1,0,1
2026-03,颈部,17,陶琼瑶,中级,6,0,6
2026-04,颈部,17,陶琼瑶,中级,5,0,5
2024-12,颈部,18,马萌,初级,18,0,18
2025-01,颈部,18,马萌,初级,8,0,8
2025-02,颈部,18,马萌,初级,3,0,3
2025-03,颈部,18,马萌,初级,6,0,6
2025-04,颈部,18,马萌,初级,15,0,15
2025-05,颈部,18,马萌,初级,14,0,14
2025-06,颈部,18,马萌,初级,17,0,17
2025-07,颈部,18,马萌,初级,23,0,23
2025-08,颈部,18,马萌,初级,7,0,7
2025-09,颈部,18,马萌,初级,13,0,13
2025-10,颈部,18,马萌,初级,11,0,11
2025-11,颈部,18,马萌,初级,8,0,8
2026-01,颈部,18,马萌,初级,3,0,3
2026-03,颈部,18,马萌,初级,7,0,7
2026-04,颈部,18,马萌,初级,7,0,7
2024-04,颈部,20,李铭婕,中级,4,2,6
2024-05,颈部,20,李铭婕,中级,11,0,11
2024-06,颈部,20,李铭婕,中级,17,0,17
2024-07,颈部,20,李铭婕,中级,10,0,10
2024-08,颈部,20,李铭婕,中级,19,0,19
2024-09,颈部,20,李铭婕,中级,2,0,2
2024-10,颈部,20,李铭婕,中级,10,0,10
2024-11,颈部,20,李铭婕,中级,4,0,4
2024-12,颈部,20,李铭婕,中级,6,0,6
2025-01,颈部,20,李铭婕,中级,4,0,4
2025-02,颈部,20,李铭婕,中级,6,0,6
2025-03,颈部,20,李铭婕,中级,5,0,5
2025-08,颈部,20,李铭婕,中级,3,1,4
2025-10,颈部,20,李铭婕,中级,3,0,3
2025-11,颈部,20,李铭婕,中级,1,0,1
2025-12,颈部,20,李铭婕,中级,3,0,3
2026-01,颈部,20,李铭婕,中级,7,0,7
2026-03,颈部,20,李铭婕,中级,8,1,9
2026-04,颈部,20,李铭婕,中级,7,0,7
2025-02,颈部,21,王兆雪,初级,3,0,3
2025-03,颈部,21,王兆雪,初级,3,0,3
2025-04,颈部,21,王兆雪,初级,4,0,4
2025-05,颈部,21,王兆雪,初级,9,0,9
2025-06,颈部,21,王兆雪,初级,6,0,6
2025-08,颈部,21,王兆雪,初级,13,0,13
2025-09,颈部,21,王兆雪,初级,7,0,7
2025-10,颈部,21,王兆雪,初级,14,0,14
2025-11,颈部,21,王兆雪,初级,9,0,9
2025-12,颈部,21,王兆雪,初级,4,0,4
2026-01,颈部,21,王兆雪,初级,1,0,1
2026-02,颈部,21,王兆雪,初级,3,0,3
2026-03,颈部,21,王兆雪,初级,7,0,7
2026-04,颈部,21,王兆雪,初级,2,0,2
2025-01,颈部,22,冯军利,初级,7,0,7
2025-02,颈部,22,冯军利,初级,12,1,13
2025-03,颈部,22,冯军利,初级,8,0,8
2025-04,颈部,22,冯军利,初级,17,0,17
2025-05,颈部,22,冯军利,初级,12,0,12
2025-06,颈部,22,冯军利,初级,9,0,9
2025-07,颈部,22,冯军利,初级,7,0,7
2025-08,颈部,22,冯军利,初级,5,0,5
2025-09,颈部,22,冯军利,初级,7,0,7
2025-10,颈部,22,冯军利,初级,7,0,7
2025-11,颈部,22,冯军利,初级,3,0,3
2025-12,颈部,22,冯军利,初级,2,0,2
2026-03,颈部,22,冯军利,初级,2,0,2
2026-04,颈部,22,冯军利,初级,3,0,3
2025-09,颈部,23,张若邈,初级,5,0,5
2025-10,颈部,23,张若邈,初级,14,0,14
2025-11,颈部,23,张若邈,初级,16,0,16
2025-12,颈部,23,张若邈,初级,12,0,12
2026-02,颈部,23,张若邈,初级,1,0,1
2026-04,颈部,23,张若邈,初级,3,0,3
2024-12,颈部,24,江蓝,初级,2,0,2
2025-02,颈部,24,江蓝,初级,1,0,1
2025-04,颈部,24,江蓝,初级,7,0,7
2025-05,颈部,24,江蓝,初级,2,0,2
2025-06,颈部,24,江蓝,初级,5,0,5
2025-07,颈部,24,江蓝,初级,8,0,8
2025-08,颈部,24,江蓝,初级,6,0,6
2025-09,颈部,24,江蓝,初级,7,0,7
2025-10,颈部,24,江蓝,初级,13,0,13
2025-11,颈部,24,江蓝,初级,2,0,2
2025-12,颈部,24,江蓝,初级,15,0,15
2026-03,颈部,24,江蓝,初级,1,0,1
2026-04,颈部,24,江蓝,初级,6,0,6
2025-07,颈部,25,刘坤,初级,4,0,4
2025-08,颈部,25,刘坤,初级,12,0,12
2025-09,颈部,25,刘坤,初级,7,0,7
2025-10,颈部,25,刘坤,初级,7,0,7
2025-11,颈部,25,刘坤,初级,26,0,26
2025-12,颈部,25,刘坤,初级,12,0,12
2026-01,颈部,25,刘坤,初级,3,0,3
2026-02,颈部,25,刘坤,初级,6,0,6
2026-03,颈部,25,刘坤,初级,4,0,4
2026-05,颈部,25,刘坤,初级,1,0,1
2026-06,颈部,25,刘坤,初级,3,0,3
2026-07,颈部,25,刘坤,初级,6,0,6
2026-04,颈部,26,袁芳,预备,6,0,6
2026-05,颈部,26,袁芳,预备,1,0,1
2026-06,颈部,26,袁芳,预备,7,0,7
2026-07,颈部,26,袁芳,预备,2,0,2
2026-04,颈部,27,戴睿,预备,2,0,2
2026-05,颈部,27,戴睿,预备,6,1,7
2026-06,颈部,27,戴睿,预备,3,0,3
2026-07,颈部,27,戴睿,预备,30,1,31
2026-05,颈部,28,于丛爽,预备,15,0,15
2026-06,颈部,28,于丛爽,预备,13,0,13
2026-07,颈部,28,于丛爽,预备,2,0,2
2026-05,颈部,29,冯芷珊,预备,3,0,3
2026-06,颈部,29,冯芷珊,预备,8,0,8
2026-07,颈部,29,冯芷珊,预备,4,0,4
2026-05,颈部,30,付诗懿,预备,2,0,2
2026-06,颈部,30,付诗懿,预备,9,0,9
2026-07,颈部,30,付诗懿,预备,1,0,1
2026-05,颈部,31,刘亦婷,预备,5,0,5
2026-06,颈部,31,刘亦婷,预备,3,0,3
2024-01,颈部,,傅梦竹,未登记,0,2,2
2024-02,颈部,,傅梦竹,未登记,0,4,4
2024-03,颈部,,傅梦竹,未登记,2,8,10
2024-04,颈部,,傅梦竹,未登记,1,2,3
2024-05,颈部,,傅梦竹,未登记,2,2,4
2024-06,颈部,,傅梦竹,未登记,0,1,1
2024-07,颈部,,傅梦竹,未登记,1,0,1
2024-08,颈部,,傅梦竹,未登记,1,1,2
2024-10,颈部,,傅梦竹,未登记,0,2,2
2024-11,颈部,,傅梦竹,未登记,0,1,1
2022-08,颈部,,吴凡,未登记,1,0,1
2024-01,颈部,,张静,未登记,4,0,4
2024-02,颈部,,张静,未登记,10,0,10
2024-03,颈部,,张静,未登记,3,0,3
2026-03,颈部,,彭涛,未登记,2,0,2
2026-06,颈部,,彭涛,未登记,3,0,3
2024-01,颈部,,郭瑞泽,未登记,5,0,5
2024-02,颈部,,郭瑞泽,未登记,6,0,6
2024-03,颈部,,郭瑞泽,未登记,9,0,9
2024-04,颈部,,郭瑞泽,未登记,3,0,3
2026-05,颈部,,马龙,未登记,9,0,9
2024-06,体表肿物,04,白璐,高级,0,1,1
2024-06,体表肿物,05,周媛媛,高级,0,1,1
2025-01,体表肿物,07,苏畅,高级,0,1,1
2024-06,体表肿物,14,简乐诗,中级,1,0,1
2024-06,体表肿物,16,曲莹莹,中级,1,0,1
2025-01,体表肿物,22,冯军利,初级,1,0,1
